Floodplains,Municipalities,Provinces,Rainfall event,,,FMC USE (FOR VLOOKUP),,,
,,,100 Yr,25 Yr,5 Yr,,,,
Abatan,Albuquerque,Bohol,222.6,176.7,121.2,"Albuquerque, Bohol",222.6,176.7,121.2
,Antequera,Bohol,222.6,176.7,121.2,"Antequera, Bohol",222.6,176.7,121.2
,Baclayon,Bohol,222.6,176.7,121.2,"Baclayon, Bohol",222.6,176.7,121.2
,Balilihan,Bohol,222.6,176.7,121.2,"Balilihan, Bohol",222.6,176.7,121.2
,Corella,Bohol,222.6,176.7,121.2,"Corella, Bohol",222.6,176.7,121.2
,Cortes,Bohol,222.6,176.7,121.2,"Cortes, Bohol",222.6,176.7,121.2
,Maribojoc,Bohol,222.6,176.7,121.2,"Maribojoc, Bohol",222.6,176.7,121.2
,San_Isidro,Bohol,222.6,176.7,121.2,"San_Isidro, Bohol",222.6,176.7,121.2
,Sikatuna,Bohol,222.6,176.7,121.2,"Sikatuna, Bohol",222.6,176.7,121.2
,Tagbilaran_City,Bohol,222.6,176.7,121.2,"Tagbilaran_City, Bohol",222.6,176.7,121.2
Abra,Bangued,Abra,602,479.8,331.7,"Bangued, Abra",602,479.8,331.7
,Langiden,Abra,602,479.8,331.7,"Langiden, Abra",602,479.8,331.7
,Pidigan,Abra,602,479.8,331.7,"Pidigan, Abra",602,479.8,331.7
,San_Quintin,Abra,602,479.8,331.7,"San_Quintin, Abra",602,479.8,331.7
,Nueva_Era,Ilocos_Norte,602,479.8,331.7,"Nueva_Era, Ilocos_Norte",602,479.8,331.7
,Bantay,Ilocos_Sur,602,479.8,331.7,"Bantay, Ilocos_Sur",602,479.8,331.7
,Caoayan,Ilocos_Sur,602,479.8,331.7,"Caoayan, Ilocos_Sur",602,479.8,331.7
,Magsingal,Ilocos_Sur,602,479.8,331.7,"Magsingal, Ilocos_Sur",602,479.8,331.7
,Narvacan,Ilocos_Sur,602,479.8,331.7,"Narvacan, Ilocos_Sur",602,479.8,331.7
,San_Ildefonso,Ilocos_Sur,602,479.8,331.7,"San_Ildefonso, Ilocos_Sur",602,479.8,331.7
,San_Juan,Ilocos_Sur,602,479.8,331.7,"San_Juan, Ilocos_Sur",602,479.8,331.7
,San_Vicente,Ilocos_Sur,602,479.8,331.7,"San_Vicente, Ilocos_Sur",602,479.8,331.7
,Santa,Ilocos_Sur,602,479.8,331.7,"Santa, Ilocos_Sur",602,479.8,331.7
,Santa_Catalina,Ilocos_Sur,602,479.8,331.7,"Santa_Catalina, Ilocos_Sur",602,479.8,331.7
,Santo_Domingo,Ilocos_Sur,602,479.8,331.7,"Santo_Domingo, Ilocos_Sur",602,479.8,331.7
,Vigan_City,Ilocos_Sur,602,479.8,331.7,"Vigan_City, Ilocos_Sur",602,479.8,331.7
Agsalin,Gloria,Oriental_Mindoro,313.3,249.2,171.6,"Gloria, Oriental_Mindoro",313.3,249.2,171.6
Alubijid,Alubijid,Misamis_Oriental,255.5,204,141.7,"Alubijid, Misamis_Oriental",255.5,204,141.7
,El_Salvador_City,Misamis_Oriental,255.5,204,141.7,"El_Salvador_City, Misamis_Oriental",255.5,204,141.7
,Gitagum,Misamis_Oriental,255.5,204,141.7,"Gitagum, Misamis_Oriental",255.5,204,141.7
,Initao,Misamis_Oriental,255.5,204,141.7,"Initao, Misamis_Oriental",255.5,204,141.7
,Laguindingan,Misamis_Oriental,255.5,204,141.7,"Laguindingan, Misamis_Oriental",255.5,204,141.7
,Libertad,Misamis_Oriental,255.5,204,141.7,"Libertad, Misamis_Oriental",255.5,204,141.7
Aringay_&_Bauang,Baguio_City,Benguet,1134,876.1,563.6,"Baguio_City, Benguet",1134,876.1,563.6
,Kapangan,Benguet,1134,876.1,563.6,"Kapangan, Benguet",1134,876.1,563.6
,La_Trinidad,Benguet,1134,876.1,563.6,"La_Trinidad, Benguet",1134,876.1,563.6
,Sablan,Benguet,1134,876.1,563.6,"Sablan, Benguet",1134,876.1,563.6
,Tuba,Benguet,1134,876.1,563.6,"Tuba, Benguet",1134,876.1,563.6
,Tublay,Benguet,1134,876.1,563.6,"Tublay, Benguet",1134,876.1,563.6
,Agoo,La_Union,440.5,352.9,246.7,"Agoo, La_Union",440.5,352.9,246.7
,Aringay,La_Union,1134,876.1,563.6,"Aringay, La_Union",1134,876.1,563.6
,Bagulin,La_Union,1134,876.1,563.6,"Bagulin, La_Union",1134,876.1,563.6
,Bauang,La_Union,1134,876.1,563.6,"Bauang, La_Union",1134,876.1,563.6
,Burgos,La_Union,1134,876.1,563.6,"Burgos, La_Union",1134,876.1,563.6
,Caba,La_Union,1134,876.1,563.6,"Caba, La_Union",1134,876.1,563.6
,Naguilian,La_Union,1134,876.1,563.6,"Naguilian, La_Union",1134,876.1,563.6
,Pugo,La_Union,1134,876.1,563.6,"Pugo, La_Union",1134,876.1,563.6
,Rosario,La_Union,440.5,352.9,246.7,"Rosario, La_Union",440.5,352.9,246.7
,San_Fernando_City,La_Union,1134,876.1,563.6,"San_Fernando_City, La_Union",1134,876.1,563.6
,San_Gabriel,La_Union,1134,876.1,563.6,"San_Gabriel, La_Union",1134,876.1,563.6
,Santo_Tomas,La_Union,440.5,352.9,246.7,"Santo_Tomas, La_Union",440.5,352.9,246.7
,Tubao,La_Union,1134,876.1,563.6,"Tubao, La_Union",1134,876.1,563.6
Bacarra,Bacarra,Ilocos_Norte,602,479.8,331.7,"Bacarra, Ilocos_Norte",602,479.8,331.7
,Laoag_City,Ilocos_Norte,602,479.8,331.7,"Laoag_City, Ilocos_Norte",602,479.8,331.7
,Pasuquin,Ilocos_Norte,602,479.8,331.7,"Pasuquin, Ilocos_Norte",602,479.8,331.7
,Vintar,Ilocos_Norte,602,479.8,331.7,"Vintar, Ilocos_Norte",602,479.8,331.7
Balangiga,Balangiga,Eastern_Samar,409.1,323.8,220.5,"Balangiga, Eastern_Samar",409.1,323.8,220.5
Bansud,Bansud,Oriental_Mindoro,313.3,249.2,171.6,"Bansud, Oriental_Mindoro",313.3,249.2,171.6
,Gloria,Oriental_Mindoro,313.3,249.2,171.6,"Gloria, Oriental_Mindoro",313.3,249.2,171.6
Baroc,Mansalay,Oriental_Mindoro,313.3,249.2,171.6,"Mansalay, Oriental_Mindoro",313.3,249.2,171.6
,Roxas,Oriental_Mindoro,313.3,249.2,171.6,"Roxas, Oriental_Mindoro",313.3,249.2,171.6
Bongabong,Bongabong,Oriental_Mindoro,313.3,249.2,171.6,"Bongabong, Oriental_Mindoro",313.3,249.2,171.6
Bucao,Botolan,Zambales,533.6,431.1,307,"Botolan, Zambales",533.6,431.1,307
,Cabangan,Zambales,533.6,431.1,307,"Cabangan, Zambales",533.6,431.1,307
,Iba,Zambales,533.6,431.1,307,"Iba, Zambales",533.6,431.1,307
Bulalacao,Bulalacao,Oriental_Mindoro,313.3,249.2,171.6,"Bulalacao, Oriental_Mindoro",313.3,249.2,171.6
Butas,Pola,Oriental_Mindoro,313.3,249.2,171.6,"Pola, Oriental_Mindoro",313.3,249.2,171.6
,Socorro,Oriental_Mindoro,313.3,249.2,171.6,"Socorro, Oriental_Mindoro",313.3,249.2,171.6
,Victoria,Oriental_Mindoro,508.3,404.8,279.5,"Victoria, Oriental_Mindoro",508.3,404.8,279.5
Cabadbaran,Cabadbaran_City,Agusan_del_Norte,308.6,248.3,175.2,"Cabadbaran_City, Agusan_del_Norte",308.6,248.3,175.2
,Tubay,Agusan_del_Norte,308.6,248.3,175.2,"Tubay, Agusan_del_Norte",308.6,248.3,175.2
Cabulig,Jasaan,Misamis_Oriental,239.7,189.8,129.2,"Jasaan, Misamis_Oriental",239.7,189.8,129.2
Cadacan,Abuyog,Leyte,273,222.6,161.4,"Abuyog, Leyte",273,222.6,161.4
Cairauan,Barbaza,Antique,304.5,241.5,165.2,"Barbaza, Antique",304.5,241.5,165.2
