resource_id,resource_title,username,level
1,ancient_roman_roads,fake_1162,edit
1,ancient_roman_roads,fake_328,view
1,ancient_roman_roads,fake_1154,edit
1,ancient_roman_roads,fake_106,download
1,ancient_roman_roads,fake_52,view
1,ancient_roman_roads,AnonymousUser,view
2,airports,fake_381,edit
2,airports,fake_686,edit
2,airports,fake_349,download
2,airports,fake_261,manage
2,airports,fake_1186,edit
2,airports,fake_674,manage
2,airports,fake_32,download
2,airports,fake_24,edit
2,airports,fake_541,manage
2,airports,fake_34,edit
2,airports,AnonymousUser,view
3,hotosm_tcd_populated_places_points_kml,fake_1006,edit
3,hotosm_tcd_populated_places_points_kml,fake_864,edit
3,hotosm_tcd_populated_places_points_kml,fake_1257,edit
3,hotosm_tcd_populated_places_points_kml,fake_201,manage
3,hotosm_tcd_populated_places_points_kml,fake_1451,manage
3,hotosm_tcd_populated_places_points_kml,fake_995,edit
3,hotosm_tcd_populated_places_points_kml,fake_159,view
4,alpine_convention_perimeter_2025,fake_893,edit
4,alpine_convention_perimeter_2025,fake_242,manage
4,alpine_convention_perimeter_2025,fake_1350,download
4,alpine_convention_perimeter_2025,fake_785,manage
4,alpine_convention_perimeter_2025,fake_570,edit
4,alpine_convention_perimeter_2025,fake_750,view
4,alpine_convention_perimeter_2025,fake_765,view
4,alpine_convention_perimeter_2025,fake_1315,view
4,alpine_convention_perimeter_2025,fake_316,download
4,alpine_convention_perimeter_2025,AnonymousUser,view
5,ancient_roman_roads,fake_620,manage
5,ancient_roman_roads,fake_45,download
5,ancient_roman_roads,fake_249,manage
5,ancient_roman_roads,fake_271,download
5,ancient_roman_roads,fake_72,manage
5,ancient_roman_roads,fake_597,manage
5,ancient_roman_roads,fake_822,manage
5,ancient_roman_roads,AnonymousUser,view
6,test_1mln,fake_1233,edit
6,test_1mln,fake_306,manage
6,test_1mln,fake_1019,download
6,test_1mln,fake_125,manage
6,test_1mln,AnonymousUser,view
7,timeseries,fake_998,edit
7,timeseries,fake_948,view
7,timeseries,fake_1467,download
7,timeseries,fake_70,edit
7,timeseries,fake_1260,manage
7,timeseries,fake_607,manage
7,timeseries,fake_1124,view
7,timeseries,fake_200,edit
7,timeseries,fake_551,manage
7,timeseries,fake_214,edit
7,timeseries,AnonymousUser,view
