River_Basins,Municipalities,Provinces,Rainfall event,,,FMC USE (for VLOOKUP),,,
,,,100 Yr,25 Yr,5 Yr,,,,
Buayan,Alabel,Sarangani,195.2,153.4,102.7,"Alabel, Sarangani",195.2,153.4,102.7
,General_Santos_City,South_Cotabato,195.2,153.4,102.7,"General_Santos_City, South_Cotabato",195.2,153.4,102.7
Cagayan_de_Oro,Baungon,Bukidnon,255.5,204,141.7,"Baungon, Bukidnon",255.5,204,141.7
,Cagayan_de_Oro_City,Misamis_Oriental,255.5,204,141.7,"Cagayan_de_Oro_City, Misamis_Oriental",255.5,204,141.7
Davao,Davao_City,Davao_del_Sur,202.1,165.5,121.1,"Davao_City, Davao_del_Sur",202.1,165.5,121.1
Iligan,Iligan_City,Lanao_del_Norte,255.5,204,141.7,"Iligan_City, Lanao_del_Norte",255.5,204,141.7
Ilog-Hilabangan,Cauayan,Negros_Occidental,227.3,177.2,116.5,"Cauayan, Negros_Occidental",227.3,177.2,116.5
,Himamaylan_City,Negros_Occidental,227.3,177.2,116.5,"Himamaylan_City, Negros_Occidental",227.3,177.2,116.5
,Ilog,Negros_Occidental,227.3,177.2,116.5,"Ilog, Negros_Occidental",227.3,177.2,116.5
,Kabankalan_City,Negros_Occidental,227.3,177.2,116.5,"Kabankalan_City, Negros_Occidental",227.3,177.2,116.5
Infanta,Real,Quezon,404.4,334.4,249.6,"Real, Quezon",404.4,334.4,249.6
,Infanta,Quezon,404.4,334.4,249.6,"Infanta, Quezon",404.4,334.4,249.6
,General_Nakar,Quezon,481.2,373.6,243.1,"General_Nakar, Quezon",481.2,373.6,243.1
Iponan,Cagayan_de_Oro_City,Misamis_Oriental,255.5,204,141.7,"Cagayan_de_Oro_City, Misamis_Oriental",255.5,204,141.7
,Opol,Misamis_Oriental,255.5,204,141.7,"Opol, Misamis_Oriental",255.5,204,141.7
Jalaur,Anilao,Iloilo,304.5,241.5,165.2,"Anilao, Iloilo",304.5,241.5,165.2
,Badiangan,Iloilo,304.5,241.5,165.2,"Badiangan, Iloilo",304.5,241.5,165.2
,Banate,Iloilo,304.5,241.5,165.2,"Banate, Iloilo",304.5,241.5,165.2
,Barotac_Nuevo,Iloilo,304.5,241.5,165.2,"Barotac_Nuevo, Iloilo",304.5,241.5,165.2
,Barotac_Viejo,Iloilo,304.5,241.5,165.2,"Barotac_Viejo, Iloilo",304.5,241.5,165.2
,Cabatuan,Iloilo,304.5,241.5,165.2,"Cabatuan, Iloilo",304.5,241.5,165.2
,Calinog,Iloilo,304.5,241.5,165.2,"Calinog, Iloilo",304.5,241.5,165.2
,Dingle,Iloilo,304.5,241.5,165.2,"Dingle, Iloilo",304.5,241.5,165.2
,Duenas,Iloilo,304.5,241.5,165.2,"Duenas, Iloilo",304.5,241.5,165.2
,Dumangas,Iloilo,304.5,241.5,165.2,"Dumangas, Iloilo",304.5,241.5,165.2
,Iloilo_City,Iloilo,304.5,241.5,165.2,"Iloilo_City, Iloilo",304.5,241.5,165.2
,Janiuay,Iloilo,304.5,241.5,165.2,"Janiuay, Iloilo",304.5,241.5,165.2
,Lambunao,Iloilo,304.5,241.5,165.2,"Lambunao, Iloilo",304.5,241.5,165.2
,Leganes,Iloilo,304.5,241.5,165.2,"Leganes, Iloilo",304.5,241.5,165.2
,Mina,Iloilo,304.5,241.5,165.2,"Mina, Iloilo",304.5,241.5,165.2
,New_Lucena,Iloilo,304.5,241.5,165.2,"New_Lucena, Iloilo",304.5,241.5,165.2
,Passi_City,Iloilo,304.5,241.5,165.2,"Passi_City, Iloilo",304.5,241.5,165.2
,Pavia,Iloilo,304.5,241.5,165.2,"Pavia, Iloilo",304.5,241.5,165.2
,Pototan,Iloilo,304.5,241.5,165.2,"Pototan, Iloilo",304.5,241.5,165.2
,San_Enrique,Iloilo,304.5,241.5,165.2,"San_Enrique, Iloilo",304.5,241.5,165.2
,San_Rafael,Iloilo,304.5,241.5,165.2,"San_Rafael, Iloilo",304.5,241.5,165.2
,Santa_Barbara,Iloilo,304.5,241.5,165.2,"Santa_Barbara, Iloilo",304.5,241.5,165.2
,Zarraga,Iloilo,304.5,241.5,165.2,"Zarraga, Iloilo",304.5,241.5,165.2
Lucena,Lucena_City,Quezon,508.3,404.8,279.5,"Lucena_City, Quezon",508.3,404.8,279.5
,Tayabas_City,Quezon,508.3,404.8,279.5,"Tayabas_City, Quezon",508.3,404.8,279.5
Mag-asawang_Tubig,Baco,Oriental_Mindoro,434.3,340.4,226.7,"Baco, Oriental_Mindoro",434.3,340.4,226.7
,Calapan_City,Oriental_Mindoro,508.3,404.8,279.5,"Calapan_City, Oriental_Mindoro",508.3,404.8,279.5
,Naujan,Oriental_Mindoro,508.3,404.8,279.5,"Naujan, Oriental_Mindoro",508.3,404.8,279.5
,Pola,Oriental_Mindoro,313.3,249.2,171.6,"Pola, Oriental_Mindoro",313.3,249.2,171.6
,San_Teodoro,Oriental_Mindoro,434.3,340.4,226.7,"San_Teodoro, Oriental_Mindoro",434.3,340.4,226.7
,Socorro,Oriental_Mindoro,313.3,249.2,171.6,"Socorro, Oriental_Mindoro",313.3,249.2,171.6
,Victoria,Oriental_Mindoro,508.3,404.8,279.5,"Victoria, Oriental_Mindoro",508.3,404.8,279.5
Mandulog,Iligan_City,Lanao_del_Norte,255.5,204,141.7,"Iligan_City, Lanao_del_Norte",255.5,204,141.7
Marikina,Angono,Rizal,481.2,373.6,243.1,"Angono, Rizal",481.2,373.6,243.1
,Antipolo_City,Rizal,481.2,373.6,243.1,"Antipolo_City, Rizal",481.2,373.6,243.1
,Cainta,Rizal,481.2,373.6,243.1,"Cainta, Rizal",481.2,373.6,243.1
,Makati_City,Metropolitan_Manila,481.2,373.6,243.1,"Makati_City, Metropolitan_Manila",481.2,373.6,243.1
,Marikina,Metropolitan_Manila,481.2,373.6,243.1,"Marikina, Metropolitan_Manila",481.2,373.6,243.1
,Pasig_City,Metropolitan_Manila,481.2,373.6,243.1,"Pasig_City, Metropolitan_Manila",481.2,373.6,243.1
,Pateros,Metropolitan_Manila,481.2,373.6,243.1,"Pateros, Metropolitan_Manila",481.2,373.6,243.1
,Quezon_City,Metropolitan_Manila,481.2,373.6,243.1,"Quezon_City, Metropolitan_Manila",481.2,373.6,243.1
,Rodriguez,Rizal,481.2,373.6,243.1,"Rodriguez, Rizal",481.2,373.6,243.1
,San_Jose_del_Monte_City,Bulacan,481.2,373.6,243.1,"San_Jose_del_Monte_City, Bulacan",481.2,373.6,243.1
,San_Mateo,Rizal,481.2,373.6,243.1,"San_Mateo, Rizal",481.2,373.6,243.1
,Taguig,Metropolitan_Manila,481.2,373.6,243.1,"Taguig, Metropolitan_Manila",481.2,373.6,243.1
,Taytay,Rizal,481.2,373.6,243.1,"Taytay, Rizal",481.2,373.6,243.1
,Teresa,Rizal,481.2,373.6,243.1,"Teresa, Rizal",481.2,373.6,243.1
Metro_Manila,Bulacan,Bulacan,481.2,373.6,243.1,"Bulacan, Bulacan",481.2,373.6,243.1
