MUNI_PROV,t24_100yr,t24_25yr,t24_5yr
"Aborlan, Palawan",299.6,234.9,156.4
"Abra_de_Ilog, Occidental_Mindoro",434.3,340.4,226.7
"Abucay, Bataan",377.6,301.5,209.4
"Abulug, Cagayan",484,379.3,252.5
"Abuyog, Leyte",273,222.6,161.4
"Abuyog, Leyte",316.3,259.6,190.8
"Adams, Ilocos_Norte",602,479.8,331.7
"Agdangan, Quezon",466.7,369.6,252
"Aglipay, Quirino",427.9,345.5,245.6
"Agno, Pangasinan",440.5,352.9,246.7
"Agoncillo, Batangas",434.3,340.4,226.7
"Agoo, La_Union",440.5,352.9,246.7
"Agoo, La_Union",1134,876.1,563.6
"Aguilar, Pangasinan",440.5,352.9,246.7
"Aguinaldo, Ifugao",427.9,345.5,245.6
"Aguinaldo, Ifugao",465.5,367.2,248
"Aguinaldo, Ifugao",1134,876.1,563.6
"Agutaya, Palawan",304.5,241.5,165.2
"Agutaya, Palawan",313.3,249.2,171.6
"Ajuy, Iloilo",304.5,241.5,165.2
"Ajuy, Iloilo",344.6,273,186.2
"Akbar, Basilan",191.1,153.4,107.8
"Al_Barka, Basilan",191.1,153.4,107.8
"Alabat, Quezon",466.7,369.6,252
"Alabel, Sarangani",195.2,153.4,102.7
"Alamada, North_Cotabato",255.5,204,141.7
"Alamada, North_Cotabato",265.3,214.8,153.6
"Alamada, North_Cotabato",239.7,189.8,129.2
"Alamada, North_Cotabato",202.1,165.5,121.1
"Alaminos_City, Pangasinan",440.5,352.9,246.7
"Alaminos, Laguna",434.3,340.4,226.7
"Alangalang, Leyte",273,222.6,161.4
"Albuera, Leyte",273,222.6,161.4
"Albuquerque, Bohol",222.6,176.7,121.2
"Alcala, Cagayan",465.5,367.2,248
"Alcala, Pangasinan",440.5,352.9,246.7
"Alcantara, Cebu",222.6,176.7,121.2
"Alcantara, Romblon",313.3,249.2,171.6
"Alcoy, Cebu",227.3,177.2,116.5
"Alcoy, Cebu",222.6,176.7,121.2
"Alegria, Cebu",227.3,177.2,116.5
"Alegria, Cebu",222.6,176.7,121.2
"Alegria, Surigao_del_Norte",553.9,433,286.5
"Aleosan, North_Cotabato",202.1,165.5,121.1
"Alfonso_Castaneda, Nueva_Vizcaya",551.7,428.2,278.6
"Alfonso_Lista, Ifugao",427.9,345.5,245.6
"Alfonso_Lista, Ifugao",465.5,367.2,248
"Alfonso, Cavite",434.3,340.4,226.7
"Aliaga, Nueva_Ecija",349.3,275.2,185.3
"Alicia, Bohol",222.6,176.7,121.2
"Alicia, Bohol",316.3,259.6,190.8
"Alicia, Isabela",427.9,345.5,245.6
"Alicia, Zamboanga_Sibugay",191.1,153.4,107.8
"Alilem, Ilocos_Sur",1134,876.1,563.6
"Alimodian, Iloilo",304.5,241.5,165.2
"Alitagtag, Batangas",434.3,340.4,226.7
"Allacapan, Cagayan",484,379.3,252.5
"Allen, Northern_Samar",461.8,368.5,255.4
"Almagro, Samar",418.8,331.3,255.3
"Almagro, Samar",461.8,368.5,255.4
"Almeria, Biliran",418.8,331.3,255.3
"Aloguinsan, Cebu",265.7,208.5,139.1
"Aloran, Misamis_Occidental",294.4,242,178.5
"Altavas, Aklan",344.6,273,186.2
"Alubijid, Misamis_Oriental",255.5,204,141.7
"Amadeo, Cavite",434.3,340.4,226.7
"Ambaguio, Nueva_Vizcaya",1134,876.1,563.6
"Amlan, Negros_Oriental",227.3,177.2,116.5
"Ampatuan, Maguindanao",195.2,153.4,102.7
"Amulung, Cagayan",465.5,367.2,248
"Anahawan, Southern_Leyte",316.3,259.6,190.8
"Anao, Tarlac",349.3,275.2,185.3
"Anao, Tarlac",440.5,352.9,246.7
"Anda, Bohol",316.3,259.6,190.8
"Anda, Pangasinan",440.5,352.9,246.7
"Angadanan, Isabela",427.9,345.5,245.6
"Angat, Bulacan",481.2,373.6,243.1
"Angeles_City, Pampanga",533.6,431.1,307
"Angeles_City, Pampanga",349.3,275.2,185.3
"Angono, Rizal",481.2,373.6,243.1
"Anilao, Iloilo",304.5,241.5,165.2
"Anini_Y, Antique",304.5,241.5,165.2
"Antequera, Bohol",222.6,176.7,121.2
"Antipas, North_Cotabato",202.1,165.5,121.1
"Antipolo_City, Rizal",481.2,373.6,243.1
"Antipolo_City, Rizal",404.4,334.4,249.6
"Apalit, Pampanga",481.2,373.6,243.1
"Apalit, Pampanga",415.6,328.8,223.5
"Aparri, Cagayan",484,379.3,252.5
"Araceli, Palawan",299.6,234.9,156.4
"Arakan, North_Cotabato",202.1,165.5,121.1
"Arayat, Pampanga",349.3,275.2,185.3
"Argao, Cebu",222.6,176.7,121.2
"Aringay, La_Union",1134,876.1,563.6
"Aritao, Nueva_Vizcaya",551.7,428.2,278.6
"Aritao, Nueva_Vizcaya",1134,876.1,563.6
"Aroroy, Masbate",490.3,386.4,260.5
"Arteche, Eastern_Samar",509.4,407.4,283.8
"Arteche, Eastern_Samar",418.8,331.3,255.3
"Asingan, Pangasinan",440.5,352.9,246.7
"Asipulo, Ifugao",1134,876.1,563.6
"Asturias, Cebu",265.7,208.5,139.1
"Asuncion, Davao_del_Norte",483.1,389.7,276.5
"Asuncion, Davao_del_Norte",202.1,165.5,121.1
"Atimonan, Quezon",508.3,404.8,279.5
"Atimonan, Quezon",466.7,369.6,252
"Atok, Benguet",1134,876.1,563.6
"Aurora, Isabela",465.5,367.2,248
"Aurora, Zamboanga_del_Sur",294.4,242,178.5
"Ayungon, Negros_Oriental",227.3,177.2,116.5
"Baao, Camarines_Sur",490.3,386.4,260.5
"Babatngon, Leyte",273,222.6,161.4
"Bacacay, Albay",490.3,386.4,260.5
"Bacarra, Ilocos_Norte",602,479.8,331.7
"Baclayon, Bohol",222.6,176.7,121.2
"Bacnotan, La_Union",1134,876.1,563.6
"Baco, Oriental_Mindoro",434.3,340.4,226.7
"Bacolod_City, Negros_Occidental",304.5,241.5,165.2
"Bacolod_Kalawi, Lanao_del_Sur",255.5,204,141.7
"Bacolod, Lanao_del_Norte",255.5,204,141.7
"Bacolor, Pampanga",415.6,328.8,223.5
"Bacolor, Pampanga",349.3,275.2,185.3
"Bacong, Negros_Oriental",227.3,177.2,116.5
"Bacoor, Cavite",377.6,301.5,209.4
"Bacuag, Surigao_del_Norte",553.9,433,286.5
"Bacungan, Zamboanga_del_Norte",294.4,242,178.5
"Badian, Cebu",227.3,177.2,116.5
"Badian, Cebu",222.6,176.7,121.2
"Badiangan, Iloilo",304.5,241.5,165.2
"Badoc, Ilocos_Norte",602,479.8,331.7
